INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG001', 'John Doe', '019-25449791', '031125-01-1438');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG040', 'Laura Moore', '019-000040', '000040-01-IC0040');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG041', 'Robert Thomas', '019-000041', '000041-01-IC0041');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG042', 'Sophia Lee', '019-000042', '000042-01-IC0042');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG043', 'Paul Martin', '019-000043', '000043-01-IC0043');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG044', 'Olivia Harris', '019-000044', '000044-01-IC0044');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG045', 'Peter Clark', '019-000045', '000045-01-IC0045');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG046', 'Ava Hall', '019-000046', '000046-01-IC0046');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG047', 'Kevin Young', '019-000047', '000047-01-IC0047');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG048', 'Emma Wright', '019-000048', '000048-01-IC0048');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG049', 'Joshua King', '019-000049', '000049-01-IC0049');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG050', 'Abigail Scott', '019-000050', '000050-01-IC0050');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG051', 'Andrew Harris', '019-35449751', '851125-02-5151');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG052', 'Grace Lewis', '019-35449752', '880215-01-5652');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG053', 'Michael Wright', '019-37449753', '921103-12-6753');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG054', 'Emily Clark', '019-38449754', '940225-08-7654');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG055', 'David Johnson', '019-39449755', '901201-14-4555');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG056', 'Sophia Lee', '019-40449756', '890310-05-3356');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG057', 'James Miller', '019-41449757', '850425-02-1357');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG058', 'Jessica Taylor', '019-42449758', '920610-10-2958');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG059', 'Daniel Anderson', '019-43449759', '880503-11-4459');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG060', 'Laura Moore', '019-44449760', '900715-07-0960');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG061', 'Michael Johnson', '019-25449761', '700101-05-0061');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG062', 'Emily Davis', '019-25449762', '710202-06-0062');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG063', 'David Wilson', '019-25449763', '720303-07-0063');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG064', 'Sarah Brown', '019-25449764', '730404-08-0064');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG065', 'James Miller', '019-25449765', '740505-09-0065');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG066', 'Jessica Taylor', '019-25449766', '750606-10-0066');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG067', 'Daniel Anderson', '019-25449767', '760707-11-0067');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG068', 'Laura Moore', '019-25449768', '770808-12-0068');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG069', 'Robert Thomas', '019-25449769', '780909-13-0069');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG070', 'Sophia Lee', '019-25449770', '791010-14-0070');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG071', 'Paul Martin', '019-25449771', '800201-02-0071');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG072', 'Olivia Harris', '019-25449772', '811103-03-0072');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG073', 'Peter Clark', '019-25449773', '820406-07-0073');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG074', 'Ava Hall', '019-25449774', '831102-10-0074');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG075', 'Kevin Young', '019-25449775', '850305-08-0075');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG076', 'Emma Wright', '019-25449776', '860507-09-0076');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG077', 'Joshua King', '019-25449777', '870707-10-0077');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG078', 'Abigail Scott', '019-25449778', '880806-12-0078');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG079', 'Andrew Harris', '019-25449779', '890101-14-0079');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG080', 'Grace Lewis', '019-25449780', '900302-11-0080');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG081', 'Michael Wright', '019-25449781', '910101-05-0081');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG082', 'Emily Clark', '019-25449782', '920505-07-0082');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG083', 'David Wilson', '019-25449783', '930901-11-0083');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG084', 'Sophia Lee', '019-25449784', '940212-12-0084');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG085', 'James Miller', '019-25449785', '950304-05-0085');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG086', 'Jessica Taylor', '019-25449786', '960907-10-0086');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG087', 'Daniel Anderson', '019-25449787', '970203-09-0087');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG088', 'Laura Moore', '019-25449788', '980708-08-0088');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG089', 'Robert Thomas', '019-25449789', '990105-11-0089');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG090', 'Sophia Lee', '019-25449790', '851103-07-0090');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG091', 'Paul Martin', '019-25449791', '871010-06-0091');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG092', 'Olivia Harris', '019-25449792', '921206-09-0092');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG093', 'Peter Clark', '019-25449793', '901001-08-0093');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG094', 'Ava Hall', '019-25449794', '951104-11-0094');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG095', 'Kevin Young', '019-25449795', '880214-12-0095');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG096', 'Emma Wright', '019-25449796', '930203-10-0096');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG097', 'Joshua King', '019-25449797', '941004-07-0097');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG098', 'Abigail Scott', '019-25449798', '861010-06-0098');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG099', 'Andrew Harris', '019-25449799', '900102-11-0099');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG100', 'Grace Lewis', '019-25449800', '850812-05-0100');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG101', 'Michael Johnson', '019-25449801', '720701-14-0101');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG102', 'Emily Davis', '019-25449802', '831010-12-0102');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG103', 'David Wilson', '019-25449803', '870901-08-0103');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG104', 'Sophia Lee', '019-25449804', '920702-10-0104');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG105', 'James Miller', '019-25449805', '841203-06-0105');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG106', 'Jessica Taylor', '019-25449806', '961102-13-0106');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG107', 'Daniel Anderson', '019-25449807', '910309-14-0107');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG108', 'Laura Moore', '019-25449808', '781012-05-0108');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG109', 'Robert Thomas', '019-25449809', '820909-07-0109');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG110', 'Sophia Lee', '019-25449810', '950512-11-0110');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG111', 'Paul Martin', '019-25449811', '980612-12-0111');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG112', 'Olivia Harris', '019-25449812', '930314-10-0112');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG113', 'Peter Clark', '019-25449813', '940801-09-0113');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG114', 'Ava Hall', '019-25449814', '820615-12-0114');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG115', 'Kevin Young', '019-25449815', '770414-07-0115');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG116', 'Emma Wright', '019-25449816', '861213-13-0116');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG117', 'Joshua King', '019-25449817', '931007-05-0117');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG118', 'Abigail Scott', '019-25449818', '940109-14-0118');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG119', 'Andrew Harris', '019-25449819', '850210-11-0119');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG120', 'Grace Lewis', '019-25449820', '900616-08-0120');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG121', 'Michael Johnson', '019-25449821', '910309-09-0121');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG122', 'Emily Davis', '019-25449822', '820412-12-0122');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG123', 'David Wilson', '019-25449823', '860615-14-0123');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG124', 'Sarah Brown', '019-25449824', '930508-10-0124');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG125', 'James Miller', '019-25449825', '901203-07-0125');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG126', 'Jessica Taylor', '019-25449826', '860415-11-0126');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG127', 'Daniel Anderson', '019-25449827', '930217-08-0127');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG128', 'Laura Moore', '019-25449828', '950110-14-0128');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG129', 'Robert Thomas', '019-25449829', '940803-11-0129');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG130', 'Sophia Lee', '019-25449830', '870112-06-0130');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG131', 'Paul Martin', '019-25449831', '930315-09-0131');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG132', 'Olivia Harris', '019-25449832', '910510-14-0132');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG133', 'Peter Clark', '019-25449833', '890602-07-0133');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG134', 'Ava Hall', '019-25449834', '951203-13-0134');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG135', 'Kevin Young', '019-25449835', '910202-11-0135');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG136', 'Emma Wright', '019-25449836', '870306-08-0136');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG137', 'Joshua King', '019-25449837', '900501-12-0137');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG138', 'Abigail Scott', '019-25449838', '940405-05-0138');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG139', 'Andrew Harris', '019-25449839', '931109-06-0139');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG140', 'Grace Lewis', '019-25449840', '860711-10-0140');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG141', 'Michael Johnson', '019-25449841', '921208-14-0141');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG142', 'Emily Davis', '019-25449842', '970710-09-0142');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG143', 'David Wilson', '019-25449843', '880305-07-0143');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG144', 'Sarah Brown', '019-25449844', '910811-12-0144');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG145', 'James Miller', '019-25449845', '950213-11-0145');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG146', 'Jessica Taylor', '019-25449846', '901004-06-0146');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG147', 'Daniel Anderson', '019-25449847', '861208-07-0147');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG148', 'Laura Moore', '019-25449848', '871001-10-0148');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG149', 'Robert Thomas', '019-25449849', '921101-09-0149');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG150', 'Sophia Lee', '019-25449850', '841211-14-0150');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG151', 'Paul Martin', '019-25449851', '910305-07-0151');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG152', 'Olivia Harris', '019-25449852', '850206-10-0152');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG153', 'Peter Clark', '019-25449853', '920509-11-0153');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG154', 'Ava Hall', '019-25449854', '930309-08-0154');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG155', 'Kevin Young', '019-25449855', '890108-12-0155');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG156', 'Emma Wright', '019-25449856', '940707-07-0156');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG157', 'Joshua King', '019-25449857', '931111-05-0157');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG158', 'Abigail Scott', '019-25449858', '870515-09-0158');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG159', 'Andrew Harris', '019-25449859', '900103-06-0159');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG160', 'Grace Lewis', '019-25449860', '920911-04-0160');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG161', 'Michael Johnson', '019-25449861', '940305-12-0161');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG162', 'Emily Davis', '019-25449862', '860107-03-0162');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG163', 'David Wilson', '019-25449863', '910405-05-0163');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG164', 'Sophia Lee', '019-25449864', '900712-11-0164');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG165', 'James Miller', '019-25449865', '931004-12-0165');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG166', 'Jessica Taylor', '019-25449866', '970907-08-0166');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG167', 'Daniel Anderson', '019-25449867', '910308-06-0167');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG168', 'Laura Moore', '019-25449868', '880105-13-0168');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG169', 'Robert Thomas', '019-25449869', '830812-10-0169');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG170', 'Sophia Lee', '019-25449870', '870509-07-0170');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG171', 'Paul Martin', '019-25449871', '850612-14-0171');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG172', 'Olivia Harris', '019-25449872', '930510-12-0172');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG173', 'Peter Clark', '019-25449873', '910607-13-0173');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG174', 'Ava Hall', '019-25449874', '960809-09-0174');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG175', 'Kevin Young', '019-25449875', '941101-14-0175');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG176', 'Emma Wright', '019-25449876', '920213-08-0176');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG177', 'Joshua King', '019-25449877', '851204-07-0177');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG178', 'Abigail Scott', '019-25449878', '940708-11-0178');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG179', 'Andrew Harris', '019-25449879', '900401-10-0179');
